# number of LED, resolution of motor encoder 
32, 380 
227 110 65 
229 108 64 
230 105 60 
229 104 59 
228 103 59 
223 100 56 
225 100 56 
224 99 55 
225 97 54 
223 97 56 
223 92 49 
221 90 50 
235 159 130 
231 155 126 
233 156 123 
233 154 121 
241 159 134 
230 149 114 
231 148 117 
234 173 153 
239 175 151 
232 138 102 
237 140 106 
233 146 112 
235 135 100 
229 126 87 
234 125 87 
229 121 80 
230 117 77 
233 115 73 
232 114 72 
228 110 68 
229 110 65 
229 108 66 
228 105 61 
229 104 59 
228 103 59 
226 101 57 
224 99 55 
226 98 55 
227 97 54 
223 95 54 
221 93 50 
223 92 49 
235 159 130 
231 155 126 
233 156 123 
233 154 121 
239 159 134 
229 150 117 
234 149 117 
237 174 154 
242 175 154 
235 138 105 
235 138 104 
234 145 111 
239 142 106 
231 128 89 
233 124 86 
229 121 80 
229 118 78 
233 115 73 
233 115 73 
229 112 67 
231 110 68 
230 106 65 
229 106 62 
229 104 59 
226 103 59 
226 101 57 
227 99 56 
224 99 55 
225 97 54 
224 96 53 
224 94 51 
223 92 49 
235 158 131 
236 158 129 
234 157 125 
233 154 121 
240 164 141 
230 150 119 
236 151 119 
238 170 151 
238 171 150 
233 137 107 
232 138 103 
234 145 111 
235 139 103 
232 129 90 
229 122 84 
229 121 80 
228 120 78 
232 116 75 
234 116 74 
232 113 68 
231 110 68 
229 106 62 
228 105 61 
229 104 60 
229 104 59 
228 100 57 
225 100 56 
224 99 55 
225 97 54 
227 97 54 
225 95 52 
225 91 49 
235 158 131 
236 158 129 
234 157 125 
233 154 121 
240 164 141 
230 150 119 
235 151 116 
238 169 149 
237 172 151 
227 136 105 
233 139 104 
231 141 106 
233 136 98 
231 128 89 
229 122 84 
230 119 81 
228 120 78 
230 116 75 
232 117 72 
232 113 68 
232 108 67 
229 106 62 
229 106 62 
229 106 62 
229 104 59 
228 100 57 
225 100 56 
224 99 55 
226 98 55 
227 97 54 
227 96 53 
225 91 49 
235 158 131 
236 158 129 
234 157 125 
233 154 121 
239 167 143 
229 151 122 
232 149 117 
238 169 150 
235 174 154 
225 141 113 
236 140 104 
231 139 104 
232 134 94 
228 127 88 
230 123 85 
230 119 81 
228 120 78 
230 116 75 
232 117 72 
233 114 69 
231 110 66 
229 106 62 
229 106 62 
229 106 62 
229 104 60 
